wosarticle__doc;wosarticle__di;wosarticle__ti;docauthinst__AU;wosarticle__py;wosarticle__ab
154161;http://dx.doi.org/10.1016/j.enpol.2013.01.034;Clean energy policies and green jobs: An evaluation of green jobs in U.S. metropolitan areas;"Yi, HT; <br>Yi, HT";2013;State and local governments in the U.S. are actively promoting renewable energy and energy efficiency to seek economic development opportunities and create green jobs. This study evaluates the employment effects of state and local clean energy and climate policies in U.S. metropolitan areas (MSAs) in 2006. The regression analysis shows that both state and local clean energy policies have positive and statistically significant impacts on green jobs at the metropolitan level. The results from Two Stage Probit Least Squares (2SPLS) indicate that every additional state clean energy policy tool adopted is associated with 1% more green jobs in the MSA. On average, MSAs with ICLEI membership maintain 9.3% more green jobs than MSAs without ICLEI membership, Ceteris paribus. (C) 2013 Elsevier Ltd. All rights reserved.
270585;;Fuel Taxes and the Poor: The Distributional Effects of Gasoline Taxation and Their Implications for Climate Policy;Espey, M;2013;
309735;http://dx.doi.org/10.1080/09505431.2013.786994;Envisioning the Social and Political Dynamics of Energy Transitions: Sustainable Energy for the Mediterranean Region;Moore, S;2013;
466003;;Reconciling fuel poverty and climate change policy under the Coalition government: Green Deal or no deal?;"Snell, C.; <br>Thomson, H.";2013;
1959809;http://dx.doi.org/10.1108/03090591311312732;The dual promise of green jobs: A qualitative study of federally funded energy training programmes in the USA;Scully-Russ, E.;2013;Purpose: The aim of this paper is to review the policy literature on green jobs and green jobs training in the USA and to present findings of a qualitative study on the start-up of two Energy Training Partnerships (ETP) funded by the US Department of Labour to train workers for green jobs. Design/methodology/approach: The paper includes a review of the policy literature, document reviews, and interviews with administrators, employers, educators, workforce officials. The literature presumes green jobs training will help create jobs and that these jobs will provide opportunities for the poor. This study examined these propositions within the context of the ETPs. Findings: Stakeholders faced challenges related to a misaligned infrastructure, lack of synchronization in the labour market, and workforce gaps. They responded by coordinating available resources in innovative ways. Though many policy propositions were confirmed, the premise that green jobs are a pathway of poverty was not. Entry requirements were high and programmes lacked funds for long-term education. Research limitations/implications: Because the sample was small and little was known about the nature of emerging jobs, more research is needed on green jobs and their skill requirements. Practical implications: The study found that coordination on the policy and programme levels helped stakeholders respond to challenges. Also, new opportunities for the poor may be realized by embedding short-term training in a broad continuum of education and strategically linking both to economic development activities. Originality/value: Little is known about how training aligns with emerging industries. This study helped fill this gap by examining how stakeholders responded to the demands of the green sector. © Emerald Group Publishing Limited.
128341;http://dx.doi.org/10.1016/j.enpol.2011.09.044;Tackling cold housing and fuel poverty in New Zealand: A review of policies, research, and health impacts;"Howden-Chapman, P; <br>Viggers, H; <br>Chapman, R; <br>O'Sullivan, K; <br>Barnard, LT; <br>Lloyd, B";2012;About a quarter of New Zealand households are estimated to be in fuel poverty. NZ has a poor history of housing regulation, so existing houses are often poorly insulated and rental properties are not required to have insulation or heating. Average indoor temperatures are cold by international standards and occupants regularly report they are cold, because they cannot afford to heat their houses. Fuel poverty is thought to be a factor in NZ's high rate of excess winter mortality (16%, about 1600 deaths a year) and excess winter hospitalisations (8%). We examined the link between indoor cold and health in two community trials, the Housing, Insulation, and Health Study and the Housing. Heating, and Health Study and both interventions demonstrated encouraging benefit/cost ratios. NZ governments have translated this and other research into major policy programmes designed to retrofit insulation and efficient heating into existing houses. However, houses are predominantly electrical resistance heated and a largely unregulated electricity market has seen rapidly rising residential electricity prices. These rising energy prices, combined with low rates of economic growth, rising unemployment and generally rising income inequality, are likely to further increase levels of fuel poverty in NZ, unless broader policy action is taken. (C) 2011 Elsevier Ltd. All rights reserved.
251432;http://dx.doi.org/10.1016/j.esd.2011.12.007;Kerosene subsidies in India: When energy policy fails as social policy;"Rao, ND; <br>Rao, ND; <br>Rao, ND";2012;Kerosene subsidies intended for Indian households have been known for their poor targeting and high fiscal costs. However, the distributional benefits to the 160 million households that use kerosene are not well understood. In this paper, the kerosene subsidy is formally assessed as an instrument of income redistribution. The subsidy incidence, progressivity and efficacy of the kerosene subsidy are calculated for the state of Maharashtra, under actual and ideal implementation conditions. The analysis shows that kerosene subsidies are regressive and of minimal financial value to poor rural households. This is in part because household quotas are based on cooking needs, but kerosene is used predominantly for lighting. In urban areas, subsidies are progressive, and provide benefits of up to 5 to 10% of household expenditure among poorer households which lack affordable access to LPG and biomass. Overall, only 26% of the total subsidy value directly reaches households. This analysis suggests that subsidies targeted only to kerosene-dependent urban areas would have a higher efficacy than broad-based subsidies. (C) 2012 International Energy Initiative. Published by Elsevier Inc. All rights reserved.
357573;http://dx.doi.org/10.4324/9780203121900;Energy efficiency in housing management: Policies and practice in eleven countries;"Nieboer, N.; <br>Tsenkova, S.; <br>Gruis, V.; <br>van Hal, A.";2012;"The embedding of energy efficiency in the management of individual housing organisations is crucial for the realization of current ambitious energy efficiency policies. This issue is examined for the first time in this book through an analysis of selected case studies in new 'green' buildings, as well as in the retrofitting of existing housing, maintenance and budgeting. The links between policy ambitions, practice and housing management institutions are given particular attention. Thus the book is primarily concerned with how ambitions about energy efficiency are carried forward in investment decisions at the housing estate level. Technical and financial issues relevant for this are also addressed. The editors combine a wealth of experience in comparative research on housing policy and housing management with a strong academic background in housing studies and economics. The book aims to be internationally comparative including a range of countries. A chapter will be devoted to each of the following countries:- Sweden; Denmark; Germany; the Netherlands; England; France; Switzerland; Austria; Czech Republic; Slovenia; Canada. The book will appeal to a large audience of students and academics who are concerned with housing issues, urban policy and politics as well as to those engaged in research in energy efficiency policies in the built environment. © 2012 selection and editorial material, Nico Nieboer, Sasha Tsenkova, Vincent Gruis and Anke van Hal."
473251;http://dx.doi.org/10.4324/9781936331925;Distributional effects of transport fuel taxes in Kenya: Case of Nairobi;"Mutua, J.M.; <br>Börjesson, M.; <br>Sterner, T.";2012;
692558;;Universal and sustainable access to modern energy services in rural India: An overview of policy-programmatic interventions and implications for sustainable development;Balachandra, P.;2012;India's energy challenges are accentuated by the presence of large section of the population, especially in rural areas, lacking access to modern energy carriers. Lack of access to modern energy carrier-based services has implications for economic, social and environmental wellbeing of humanity. The implications are typically in the form of income poverty, primitive lifestyles, loss of dignity, physical hardship, health hazards, lack of employment and polluted environment. In 2007, for example in India, out of a population of about 1,125 million, 400 million were without access to electricity and 801 million were depending on solid fuels for cooking. This status indicates that the polices initiated, and the programmes implemented by the government of India as well as various state governments since the past several years have proved to be ineffective. Keeping these in mind, in this paper, an attempt has been made to provide deeper insights into the relationships between energy access status, policies and programmes and sustainable development by adopting a review methodology. In essence, the paper tries to analyse the linkage- current energy access status is an outcome of policy failure, and it has given rise to negative implications for sustainable development-through a synthesis of research papers and policy documents. © Indian Institute of Science.
693863;http://dx.doi.org/10.1108/S2044-9941(2012)0000002014;Transport and climate change policy in the United Kingdom: A social justice perspective;"Lucas, K.; <br>Pangbourne, K.";2012;Purpose – The social dimensions of the relationship between transport and climate change are examined, in particular, the potential for unintended negative consequences to directly and/or indirectly arise from policies to reduce the climate change impact of the transport sector. It takes the example of current policies in the UK as its primary focus. Methodology/approach – A combination of literature, policy review and the quantitative and qualitative evidence gathered through primary fieldwork research from a number of related studies. Findings – It is identified that different social groups can experience very different outcomes in accessing transport and adapting to changes to the transport system, whether these are uniquely targeted towards certain individuals or more systemically applied across the whole population. For this reason, it is essential that policy makers fully understand the potential vulnerability and resilience of different social groups to policies that are intended to address transport-related climate change. The key component of social impacts should be systematically analyzed, by income, potential vulnerability and their spatial and temporal distribution, as well as according to resilience/adaptability to the proposed intervention. This continues to pose an important future challenge for research in this area of transport policy making. Originality/value – This chapter highlights the potential for unintended negative social consequences to directly and/or indirectly arise from policies to reduce the climate change impact of the transport sector. © 2012 by Emerald Group Publishing Limited All rights of reproduction in any form reserved.
714534;http://dx.doi.org/10.1016/j.eist.2012.01.001;Social housing and low carbon transitions in Ljubljana, Slovenia;Broto, V.C.;2012;In the context of a growing interest on cities as agents of change for low carbon futures, there is a question about the integration of climate change concerns into municipal sectoral policies, in particular, to what extent low carbon innovations can be incorporated into social housing policies. The paper presents a case study in Ljubljana (Slovenia), where the Municipal Housing Fund has implemented initiatives to advance low carbon innovation and to address energy vulnerabilities in the city. The analysis interrogates to what extent these experiments contribute to achieve a low carbon transition in Ljubljana and to what effect, through the application of a framework to understand how low carbon innovations are made, maintained and lived. The analysis suggests that whilst these experimental project enable the development of alternative visions of a low carbon urban future, they should be understood within the existing contradictions of the urban landscape in Ljubljana. © 2012 Elsevier B.V. All rights reserved.
305812;http://dx.doi.org/10.1016/j.renene.2010.09.012;Pricing and affordability of renewable energy in China - A case study of Shandong Province;"Yuan, XL; <br>Zuo, JA";2011;The global warming and climate change have put enormous pressure on both governments and industries to re-think their attitudes and behaviours towards sustainability issues. The past decades have witnessed a number of renewable energy developments across the world. Even though these developments are not issue-free, it is generally recognized that the benefits outweigh disadvantages. However, there is an increasing level of concern on the high initial cost associated with the renewable energies, which was claimed as one of critical barriers to the promotion of its further developments. A case study approach is adopted in this study to investigate the pricing and affordability issues associated with the renewable energy in China. The policy framework and related statistics are critically reviewed in order to discuss these issues from different stakeholders' perspective in Shandong province, China. It is concluded that the affordability remains a critical issue despite numerous efforts have been made by the Chinese Government and Shandong Provincial Government on renewable power pricing. This study offers a useful reference to pricing and affordability of renewable energy. (C) 2010 Elsevier Ltd. All rights reserved.
628434;http://dx.doi.org/10.1016/j.rser.2011.07.041;A review of trends, policies and plans for increasing energy access in Ghana;"Kemausuor, F; <br>Obeng, GY; <br>Brew-Hammond, A; <br>Dukerd, A";2011;The need to secure future energy in the forms of electricity and modern cooking fuels is recognized as critical to achieving the Millennium Development Goals, particularly poverty reduction, ensuring improved education, health, water supply and environmental sustainability. This paper presents a review of the trends, policies, plans and programmes for increasing energy access in Ghana with primary focus on electricity, cooking fuels and renewable energy. The paper argues that even though governments over the years have had the provision of energy services high on the national development agenda, past and existing policies and plans have not delivered effective results to accelerate energy access, especially in the rural and pen-urban areas where the services are badly needed. The paper therefore calls for a coherent national energy policy with inputs from a wider section of the public that has precise targets and clearly laid down strategies, including financing mechanisms to achieve the targets. (C) 2011 Elsevier Ltd. All rights reserved.
891231;http://dx.doi.org/10.1080/02673037.2010.512787;A Randomised Controlled Trial of an Energy Efficiency Intervention for Families Living in Fuel Poverty;"Heyman, B; <br>Harrington, B; <br>Heyman, A";2011;This paper discusses a pragmatic randomised controlled trial of a fuel poverty intervention undertaken in NE England over a four-year period, starting in 2000/2001. Home energy efficiency was measured through Standardised Assessment Procedure (SAP) ratings in each year of the trial. The trial group received an energy efficiency intervention package in year three, and the control group in year four. Year three room temperature data for a sub-sample of 100 households were obtained. A comparison group of households not living in fuel poverty were also surveyed in all four years of the study. The intervention improved SAP ratings by 12 points, generating room temperature increases of about one degree Celsius. Families did not respond to energy efficiency gains by reducing their heating expenditure. The intervention generated improvements in satisfaction with household warmth. Its receipt was not associated with gains in self-reported health. However, modest correlations between room temperatures and better social functioning, as measured by the SF36, was found.
1959894;http://dx.doi.org/10.1080/09614524.2011.558062;Gender, energy, and empowerment: A case study of the rural energy development program in Nepal;Mahat, I.;2011;Rural women in general, and mountain women in particular, are greatly involved in managing household energy systems in Nepal. Alternative energy technologies have a high potential to reduce women's workloads and improve their health status, as well as increasing efficient energy supply. Interventions in rural energy are primarily aimed at reducing firewood use and increasing economic growth through rural electrification, rather than aiming to reduce human drudgery, especially that of women. Hence, such intervention takes place without considering the needs, roles, interests, and potential of rural women, even though women are the primary users and managers of rural energy resources. This article aims to analyse the gender implications of rural energy technologies in Kavre district, where the Rural Energy Development Program (REDP) has been implemented, especially in terms of saving women's labour and increasing socio-economic opportunities for women. © 2011 Taylor & Francis.
105788;;Distribution and climate change policies;"Grainger, C.A.; <br>Kolstad, C.D.";2010;
107418;http://dx.doi.org/10.1080/00139157.2010.493124;A Gold Standard For Equity in Climate Cap-and-Trade Programs;"Motsinger, J; <br>Motsinger, J; <br>Moss, S; <br>Fine, J";2010;
708469;http://dx.doi.org/10.1016/j.geoforum.2009.04.001;Energy and policy providing for sustainable rural livelihoods in remote locations - The case of Cuba;"Cherni, JA; <br>Hill, Y";2009;Modern, small-scale renewable energy technology has the potential to enable and sustain rural livelihoods, particularly in developing countries remote locations without access to the grid. Yet, the provision of rural energy to isolated communities might not achieve the desired long-term result unless its development is part of wider national policy geared to sustainable development and social equity. This article shows how a combination of technology and policy targeted at the improvement of livelihoods in rural areas is the best solution for maximising the capacity of renewable energy to deliver services. It pinpoints the transforming processes and the institutions participating in the delivery of energy technology. This work draws on the Cuban experience of renewable energy technology, that country's efforts to improve quality of life for remote populations, and its pledge to promote environmental sustainability. Using a sustainable livelihoods approach, the results of a survey in a rural community are analysed in the framework of existing assets and policies. The article describes how it is not only local users who benefit from a comprehensive technical, social and environmental energy approach. The same governmental administration that promotes such services has much to gain from technology that works well, benefits the poor in remote locations and protects the environment within its larger policy promoting sustainable and egalitarian society. (C) 2009 Elsevier Ltd. All rights reserved.
396929;http://dx.doi.org/10.1111/j.1467-7660.2007.00441_4.x;A climate of injustice: Global inequality, North-South politics, and climate policy;"Storm, S; <br>Storm, S";2007;
763373;http://dx.doi.org/10.1016/j.enpol.2007.05.018;Dynamic cyclical comovements of oil prices with industrial production, consumer prices, unemployment, and stock prices;"Ewing, BT; <br>Thompson, MA";2007;This paper examines the empirical relationship between oil prices and several key macroeconomic variables. In particular, we investigate the cyclical comovements of crude oil prices with output, consumer prices, unemployment, and stock prices. The methodology involves the use of the Hodrick-Prescott [Hodrick, R.J., Prescott, E.C., 1980. Post-War US Business Cycles: An Empirical Investigation. Working Paper, Carnegie Mellon University] and Baxter-King [Baxter, M., King, R.G., 1999. Measuring business cycles: approximate band-pass filters for economic time series. Review of Economics and Statistics 81, 575-593] filters, as well as the recently developed full-sample asymmetric Christiano-Fitzgerald [Christiano, L.J., Fitzgerald, T.J., 2003. The band pass filter. International Economic Review 44, 435-465] band-pass filter. Contemporaneous and cross-correlation estimates are made using the stationary cyclical components of the time series to make inference about the degree to which oil prices move with the cycle. Besides documenting a number of important cyclical relationships using three different time series filtering methods, the results suggest that crude oil prices are procyclical and lag industrial production. Additionally, we find that oil prices lead consumer prices.
1749414;http://dx.doi.org/10.1016/j.healthplace.2005.10.004;"""The walls were so damp and cold"" fuel poverty and ill health in Northern Ireland: Results from a housing intervention";"Shortt, N; <br>Rugkasa, J";2007;This article reports the findings from an evaluation of a fuel poverty programme in the Armagh and Dungannon Health Action Zone in Northern Ireland. Focusing on a rural community, it adds to the debate surrounding the hidden nature of rural fuel poverty. As part of the programme, energy efficiency measures, including some central heating systems, were installed in 54 homes. Surveys were conducted both pre and post intervention and analysed to assess any changes. The programme demonstrated that energy efficiency intervention can lead to improvements in health and well being, increased comfort levels in the home and a reduction in the use of health services, therefore having potential cost savings for the NHS. Some households, however, remain in fuel poverty after having full central heating installed, reflecting the significant contribution of low income on the production of fuel poverty. The article concludes by suggesting that interventions in this area require commitment from multiple sectors of society, including health professionals and local communities. (c) 2005 Elsevier Ltd. All rights reserved.
764113;http://dx.doi.org/10.1016/j.enpol.2004.08.043;Social and political responses to ecological tax reform in Europe: an introduction to the special issue;"Dresner, S; <br>Dunne, L; <br>Clinch, P; <br>Beuermann, C";2006;This paper introduces the special issue on the Policies for Ecological Tax Reform: Assessment of Social Responses (PETRAS) project about responses to ecological tax' reform (ETR) in Europe. Although ETR is widely accepted to be a policy with desirable effects, its implementation has been limited by problems of political acceptability. The project aimed to address the question of how to make such a policy more acceptable. It is the first study to examine in depth the thinking of members of the general public about the ETR policies and is also the first international comparative study of the thinking of ordinary business people about ETR policies. The PETRAS project methodology was based around the use of interviews and focus groups to inform the assessment of social responses to ETR policies and the development of improved designs for them. A number of issues emerged relating to awareness, trust, understanding of the purpose, visibility, incentives, regressivity.. levels of taxation. terminology, communication about ETR and the use of alternative instruments. Together with these similarities, a pattern of differences between the countries can also be seen. The final section of this paper introduces the national studies described in the following papers. (c) 2004 Elsevier Ltd. All rights reserved.
764123;http://dx.doi.org/10.1016/j.enpol.2004.08.044;Ecological Tax Reform in Denmark: history and social acceptability;"Klok, J; <br>Larsen, A; <br>Dahl, A; <br>Hansen, K";2006;"Despite the long-term and positive experience with Ecological Tax Reform (ETR), the PETRAS study indicates that awareness about the principles behind ETR is low among both businesses and the general public in Denmark. As well as the lack of awareness of ETR, attitudes towards environmental taxation appear negative. When explaining the political intentions behind ETR, attitudes seem to improve somewhat, but they still remain overall sceptical. Based on the history and the results of the PETRAS project the article will describe some of the main impediments for further development of environmental tax and ETR policies in Denmark. The article concludes that the main reason why the ETR policy has been met with such apparently low social acceptability in Denmark is that the ""green"" of the ""green"" tax reform has been somewhat oversold. On this basis it recommends the pursuit of a courageous government strategy of, openly and repeatedly, stressing the revenue purposes of environmentally related taxes over the environmental purposes in an effort to redirect public discussions towards relevant issues like the pros and cons of environmentally related taxation compared with other types of taxation and the connection between the overall tax burden and demands for government spending. Such a bold government ""confession"" to the obvious revenue purposes of the environmentally related taxes could make them, if not popular, then at least a bit more acceptable to businesses and the general public. (c) 2004 Elsevier Ltd. All rights reserved."
4827;;Distributional consequences of gasoline taxation in the United Kingdom;"Santos, G; <br>Catchesides, T; <br>Santos, G; <br>Catchesides, T";2005;This paper assesses the regressive effects of gasoline taxation in the United Kingdom. When all households are considered, middle-income households suffer most of the burden. When only car-owning households are considered, gasoline taxation is strongly regressive. Low-income households that own a car are more severely affected than high-income households because they spend a larger proportion of their income on motoring. This conclusion is similar to that of previous studies on the topic.
354977;;Canadian energy policy and the struggle for sustainable development;Bruce Doern, G.;2004;In recent years, energy policy has been increasingly linked to concepts of sustainable development. In this timely collection, editor G. Bruce Doern presents an overview of Canadian energy policy, gathering together the top Canadian scholars in the field in an examination of the twenty-year period broadly benchmarked by energy liberalization and free trade in the mid-1980s, and by Canada’s ratification of the Kyoto Protocol in 2002. The contributors examine issues including electricity restructuring in the wake of the August 2003 blackout, the implications of the Bush Administration’s energy policies, energy security, northern pipelines and Aboriginal energy issues, provincial changes in energy policy, and overall federal-provincial changes in regulatory governance. They also demonstrate that, since per capita energy usage has actually increased in the past several years, sustainable development remains very much a struggle rather than an achievement. When the Kyoto Protocol and its requirements for reductions in greenhouse gas emissions are factored in, the Canadian record is especially dubious in basic energy terms. Canadian Energy Policy and the Struggle for Sustainable Development is key to understanding many of the issues in Canada’s endeavour to live up to its energy-related environmental responsibilities. © University of Toronto Press Incorporated 2005.
492873;http://dx.doi.org/10.1111/1477-8947.00040;Energy for sustainable development: Review of national and international energy policies;"Gururaja, J; <br>Gururaja, J; <br>Gururaja, J";2003;This article presents an assessment of the effectiveness of national and international energy policies directed toward the objectives of sustainable development contained in Agenda 21. Following a brief overview of energy and transport sector trends over the past ten years, the article discusses whether and to what extent energy policies for sustainable development have impacted on poverty reduction, energy security, equitable access to energy, and transition to a more efficient and environmentally sound energy system. The impact of policies is assessed considering that such a transition involves appropriate combinations of energy efficient technologies and usage patterns, wider use of renewable energy, and gradual induction of advanced energy technologies. The article then examines the extent to which such policies have been based on integrated assessments of the needs and priorities in economic growth, social development and environmental protection and identifies some of the main constraints and barriers hampering the implementation of energy for sustainable development. The article also examines whether decision-making processes ensure multi-stakeholder participation in policy development and support a fair sharing of commitments, responsibilities and benefits among the participating stakeholders in policy implementation. Selected case studies of policies that have made a tangible difference in promoting energy for sustainable development are outlined. Finally the article discusses the challenges facing energy for sustainable development and discusses various options to accelerate the implementation of its goals.
38607;http://dx.doi.org/10.1080/13549830220115394;Socio-economic impacts of local environmental policies: An analysis for the field of climate protection;Von Seht, H.;2002;Local environmental policies are sometimes seen as standing in the way of socio-economic progress. Against the background of these concerns, the actual socio-economic impacts of climate protection measures are discussed in this paper. It is structured as follows. First, the concept of primary and secondary effects of climate policies is introduced. Secondly, there is a discussion of financial and economic impacts of local climate policies. Finally, information is given on the consequences of such measures for local energy security and air quality. The main conclusion is that, at least in the field of climate policies, there is a huge potential for local measures that are socio-economically attractive to local communities.
363625;;Redistributive and welfare impacts of a change in the TIPP tax on motor fuels;Darbéra, R.;2001;Among the various taxes aimed at providing the treasury with revenue, the French TIPP (Taxe intérieure sur les produits pétroliers or Domestic Oil Product tax) on motor fuels is one of the most regressive. Indeed, to pay the tax, poorer households spend a greater share of their income than richer households do. As a policy instrument for reducing the negative impacts of automobile use, increasing the rate of the TIPP is inefficient as such reductions are obtained at an excessive economic cost. This paper will provide an assessment of this cost. Ideally, it would be possible to compare this cost to the benefit in terms of diminished negative impacts. However, the monetarization of this benefit raises insuperable methodological and ethical problems. For the purposes of this paper, it is sufficient to relate the economic cost of an increase in the TIPP to a physical measurement of the reduction in the negative impacts obtained. This provides a yardstick to compare different policy instruments for combating the negative impacts of the private car. The TIPP seems probably to be the worst of these instruments. © 2001 Éditions scientifiques et médicales Elsevier Science.
1987282;http://dx.doi.org/10.1080/14486563.1997.10648375;Ecologically sustainable development and the better cities program;"Hundloe, T.; <br>McDonald, G.";1997;As part of the appraisal of the Building Better Cities Program, the Commonwealth conducted a multipurpose and retrospective evaluation of the 26 project program, including its contribution to the achievement of Ecologically Sustainable Development (ESD). The program included projects as diverse as urban consolidation, public transport, waste treatment, housing and inner urban redevelopment. This article reports the results of that evaluation. The article defines substantive and decision-making process criteria for ESD evaluation, based largely on the National Strategy for ESD, and applies them to each of the projects. Some of the projects contribute directly to ESD objectives for example to achieve energy use efficiency through encouraging public transport and increasing urban densities or to reduce environmental pollution by better waste management. No project was judged to be negative in an ESD sense although for many of the projects the links between expected project outcomes and ESD are much more tenuous, such as “improving the quality of life”, “improving urban amenity” or enhancing the “sense of community”. All projects made a commitment to improved integration between planning agencies involved in urban management and to involving the community which are important ESD objectives. © 1997 Taylor & Francis Group, LLC.
416855;;Social benefits of financial investment support in energy conservation policy;Haugland, T;1996;This paper examines the costs and benefits of a Norwegian energy conservation program that provided financial support for investments in energy efficiency. Participants in the program included industry, commerce, public services and households. Evaluation of the program shows that about 70% of the participants were ''free riders'' who would have invested in efficiency improvements even in the absence of the program. The economic efficiency was further reduced by economic distortions caused by taxes needed to finance the program. However, the energy savings did give environmental benefits through reduced atmospheric emissions, although this effect was somewhat diluted through a ''conservation rebound,'' where the actual reduction in energy consumption was less than the theoretical savings. The energy conservation program is also highly sensitive to assumptions about the economic lifetime of the investments.
1960165;;Energy policy in Latin America. Social and environmental dimensions of hydropower in Amazonia;Teixeira, M.G.C.;1996;"This book is a critcism of the policy of energy production in Brazilian Amazonia focusing on the dramatically accumulated social and environmental debt through the way Amazonian rivers have been utilised to provide hydropower and to sustain an export oriented industrial economy. Chapters cover: state policies in Brazilian Amazonia-constraints, expansion and destruction; the Brazilian state and the political economy of hydroelectricity development in Amazonia; and the nature of the Brazilian state in the production of energy; the Tucurui Dam in context, and the Cachoeira Porteira hydroelectric scheme."
1816997;;The economic and social implications of Italian energy and climate policies;BERNARDINI, O;1995;
1791094;;WHO PAYS FOR CLIMATE-CHANGE POLICIES - DISTRIBUTIONAL SIDE-EFFECTS AND POLICY RESPONSES;"SMITH, S; <br>MARLIN, AT; <br>WODOPIA, FJ";1994;
125151;http://dx.doi.org/10.1016/0306-2619(93)90061-S;OPPORTUNITIES AND CONSTRAINTS POSED BY FUEL POVERTY ON POLICIES TO REDUCE THE GREENHOUSE-EFFECT IN BRITAIN;"BOARDMAN, B; <br>BOARDMAN, B";1993;Policies to assist low-income households obtain sufficient warmth and overcome fuel poverty depend upon energy-efficiency investments in the long run and increased fuel consumption meanwhile. The poor spend twice as much on fuel, as a proportion of income, and are more likely than other families to be in all-electric homes or using electricity for heating. For these reasons, carbon taxes (since this was written in August 1990, the European Commission has proposed a carbon and energy tax, which has a diluted relationship with carbon dioxide emission rates) would heavily penalise the poor, so resulting in reduced consumption. Awareness of these and other conflicts is needed so that sound environmental policies do not increase the deprivation of the poorest families.
198469;http://dx.doi.org/10.1016/0301-4215(93)90035-E;URBAN HOUSEHOLD ENERGY USE IN TANZANIA - PRICES, SUBSTITUTES AND POVERTY;"HOSIER, RH; <br>KIPONDYA, W";1993;This paper presents the findings of the Tanzanian Urban Household Energy Survey undertaken as part of the Tanzania Urban Energy Project. Household energy use varies by income group according to local fuel availability. Considerable differences between the marginal costs of supplying fuels and market prices paid by consumers have led to major misallocations of resources. When the results of this survey are compared to the results of the 1987 household energy survey, a significant shift by households toward kerosene and electricity away from fuel-wood, charcoal and LPG is shown to have taken place. These shifts toward modern fuels are consistent with the claims of the households in the 1990 survey, and can largely be explained by fuel prices. Finally, an assessment of the lifeline tariff and the kerosene cross-subsidy demonstrate that the latter is a more effective method of ensuring the basic energy needs of the urban and rural poor.
544227;;EVALUATING FUEL TAX EQUITY - DIRECT AND INDIRECT DISTRIBUTIONAL EFFECTS;"CASLER, SD; <br>CASLER, SD; <br>RAFIQUI, A; <br>RAFIQUI, A";1993;
1907397;;EVALUATION OF THE DISTRIBUTIONAL IMPACTS OF ENERGY TAXES ACROSS REGIONS AND SOCIOECONOMIC GROUPS OF THE UNITED-STATES;"GREENING, L; <br>SCHIPPER, L; <br>JENG, HT";1993;
1907633;;ECOLOGICAL PERCEPTION, ENVIRONMENTAL-POLICY AND DISTRIBUTIONAL CONFLICTS - SOME LESSONS FROM HISTORY;MARTINEZALIER, J;1991;
